product_slug,product_name,image_count_ok,total_images,bad_images,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,image_11,image_12
nan-bowtie,Yellow Nan Bowtie,5,5,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_grey-bowtie_1.0.png,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_navy-bowtie_1.0.png,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_rose-pink-bowtie_1.0.png,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_pink-bowtie_1.0.png,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_yellow-bowtie_1.0.jpg,,,,,,,
nan-banana-bowtie-or-tie,Yellow Nan Banana Bowtie OR Tie,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_banana-yellow-bowtie-or-tie_1.0.jpg,,,,,,,,,,,
nan-bowtie-collection,Pink Nan Bowtie Collection,2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_green-bowtie-collection_4.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_pink-bowtie-collection_4.0.jpg,,,,,,,,,,
nan-blush-solo-ties,Nan Blush Solo Ties,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_blush-solo-ties_3.0.jpg,,,,,,,,,,,
nan-bowtie-or-tie,Yellow Nan Bowtie OR Tie,23,23,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_burgundy-bowtie-or-tie_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_ivory-bowtie-or-tie_3.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_mint-bowtie-or-tie_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_olive-green-bowtie-or-tie_3.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_orange-bowtie-or-tie_4.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_orange-bowtie-or-tie-1_3.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_royal-blue-bowtie-or-tie_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_charcoal-bowtie-or-tie_4.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_peach-bowtie-or-tie_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_pink-bowtie-or-tie_3.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_silver-bowtie-or-tie_4.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_beige-bowtie-or-tie_2.0.jpg
nan-bowties-collection,Blue Nan Bowties Collection,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_blue-bowties-collection_4.0.jpg,,,,,,,,,,,
nan-bright-pastel-bow-tie-collection,Nan Bright Pastel Bow Tie Collection,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_bright-pastel-bow-tie-collection_3.0.jpg,,,,,,,,,,,
nan-canary-bowtie-or-tie,Nan Canary Bowtie OR Tie,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_canary-bowtie-or-tie_2.0.jpg,,,,,,,,,,,
nan-canary-solo-ties,Nan Canary Solo Ties,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_canary-solo-ties_2.0.jpg,,,,,,,,,,,
nan-chianti-solo-ties,Nan Chianti Solo Ties,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_chianti-solo-ties_2.0.jpg,,,,,,,,,,,
nan-carolina-solo-ties,Blue Nan Carolina Solo Ties,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_carolina-blue-solo-ties_2.0.jpg,,,,,,,,,,,
nan-carolina-bowtie-or-tie,Blue Nan Carolina Bowtie OR Tie,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_carolina-blue-bowtie-or-tie_3.0.jpg,,,,,,,,,,,
nan-chocolate-solo-ties,Brown Nan Chocolate Solo Ties,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_chocolate-brown-solo-ties_3.0.jpg,,,,,,,,,,,
nan-chocolate-bowtie-or-tie,Brown Nan Chocolate Bowtie OR Tie,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_chocolate-brown-bowtie-or-tie_1.0.jpg,,,,,,,,,,,
nan-chianti-bowtie-or-tie,Nan Chianti Bowtie OR Tie,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_chianti-bowtie-or-tie_3.0.jpg,,,,,,,,,,,
nan-cinnamon-solo-ties,Nan Cinnamon Solo Ties,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_cinnamon-solo-ties_2.0.jpg,,,,,,,,,,,
nan-cinnamon-bowtie-or-tie,Nan Cinnamon Bowtie OR Tie,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_cinnamon-bowtie-or-tie_1.0.jpg,,,,,,,,,,,
nan-coral-bowtie-or-tie,Nan Coral Bowtie OR Tie,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_coral-bowtie-or-tie_3.0.jpg,,,,,,,,,,,
nan-classic-bowtie-collection,Nan Classic Bowtie Collection,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_classic-bowtie-collection_5.0.jpg,,,,,,,,,,,
nan-coral-solo-ties,Nan Coral Solo Ties,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_coral-solo-ties_3.0.jpg,,,,,,,,,,,
nan-dark-bowtie-or-tie,Olive Nan Dark Bowtie OR Tie,4,4,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_dark-silver-bowtie-or-tie_2.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_dark-navy-bowtie-or-tie_4.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_dark-grey-bowtie-or-tie_4.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_dark-olive-bowtie-or-tie_3.0.jpg,,,,,,,,
nan-dark-solo-ties,Olive Nan Dark Solo Ties,4,4,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_dark-grey-solo-ties_2.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_dark-navy-solo-ties_3.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_dark-silver-solo-ties_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_dark-olive-solo-ties_1.0.jpg,,,,,,,,
nan-deep-bowtie-or-tie,Purple Nan Deep Bowtie OR Tie,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_deep-purple-bowtie-or-tie_4.0.jpg,,,,,,,,,,,
nan-deep-solo-ties,Purple Nan Deep Solo Ties,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_deep-purple-solo-ties_3.0.jpg,,,,,,,,,,,
nan-dusty-bowtie-or-tie,Rose Nan Dusty Bowtie OR Tie,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_dusty-rose-bowtie-or-tie_1.0.jpg,,,,,,,,,,,
nan-dusty-solo-ties,Rose Nan Dusty Solo Ties,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_dusty-rose-solo-ties_3.0.jpg,,,,,,,,,,,
nan-emerald-bowtie-or-tie,Green Nan Emerald Bowtie OR Tie,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_emerald-green-bowtie-or-tie_4.0.jpg,,,,,,,,,,,
nan-emerald-solo-ties,Green Nan Emerald Solo Ties,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_emerald-green-solo-ties_2.0.jpg,,,,,,,,,,,
nan-forest-bowtie-or-tie,Green Nan Forest Bowtie OR Tie,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_forest-green-bowtie-or-tie_1.0.jpg,,,,,,,,,,,
nan-forest-solo-ties,Green Nan Forest Solo Ties,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_forest-green-solo-ties_2.0.jpg,,,,,,,,,,,
nan-french-bowtie-or-tie,Rose Nan French Bowtie OR Tie,2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_french-blue-bowtie-or-tie_2.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_french-rose-bowtie-or-tie_4.0.jpg,,,,,,,,,,
